parent,child
drone (ROOT),second_tti
drone (ROOT),transmission_wireless_device
drone (ROOT),upper_end_surface
drone (ROOT),permission_information
drone (ROOT),power_control_unit
drone (ROOT),photoelectric_conversion_unit
drone (ROOT),resource_allocation_information
drone (ROOT),vehicle_control_device
drone (ROOT),mem_device
drone (ROOT),inner_shaft
drone (ROOT),information_database
drone (ROOT),power_control_device
drone (ROOT),data_transmission_request
drone (ROOT),control_hybrid_vehicle
drone (ROOT),binocular_vision_photogrammetry
drone (ROOT),transparent_conductive_layer
drone (ROOT),agricultural_unmanned_vehicle
second_tti,first_second_layer
second_tti,second_transmission_signal
second_tti,second_light
second_tti,second_pin
second_tti,secondary
second_tti,second_client
second_tti,first_die
transmission_wireless_device,communication_lte
transmission_wireless_device,aid_device
transmission_wireless_device,radio_frequency_signal
transmission_wireless_device,uplink_radio_resource
transmission_wireless_device,network_wlan
transmission_wireless_device,sub_transmission
resource_allocation_information,data_file
resource_allocation_information,image_signal
resource_allocation_information,gps_information
resource_allocation_information,transmission_wireless_communication
vehicle_control_device,remote_sensor
vehicle_control_device,obstacle
vehicle_control_device,host_machine
vehicle_control_device,aerial_vehicle_carry
vehicle_control_device,wind_field
vehicle_control_device,device_comprise
vehicle_control_device,unmanned_aerial_vehicle
vehicle_control_device,hybrid_vehicle
vehicle_control_device,aircraft_utility_model
vehicle_control_device,technical_field_aircraft
inner_shaft,pull_rod
inner_shaft,convex_portion
inner_shaft,inlet_pipe
inner_shaft,driven_shaft
inner_shaft,top_main_body
inner_shaft,bottom_plate
inner_shaft,upper_end_portion
information_database,video_image
information_database,pose_information
information_database,coordinate_value
information_database,web_page
information_database,signal_processing_unit
information_database,image_scene
control_hybrid_vehicle,obstacle_detection_sensor
control_hybrid_vehicle,power_supply_voltage
control_hybrid_vehicle,control
control_hybrid_vehicle,engine_motor
control_hybrid_vehicle,fly_control
control_hybrid_vehicle,ego_vehicle
control_hybrid_vehicle,obstacle_sensor
control_hybrid_vehicle,amphibious_unmanned_plane
transparent_conductive_layer,electrical_conductor
transparent_conductive_layer,substrate_layer
transparent_conductive_layer,porous_material
transparent_conductive_layer,structure_low_cost
transparent_conductive_layer,compound_pharmaceutical_composition
transparent_conductive_layer,light_ray
second_transmission_signal,second_antenna
second_transmission_signal,second_transmission_line
second_transmission_signal,second_transmission
second_transmission_signal,first_transmission
